"","kingdom","phylum","class","order","family","genus","species","RevisedName"
"Sulfolobus acidocaldarius","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius","Sulfolobus acidocaldarius"
"Aeropyrum pernix","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Aeropyrum","Aeropyrum pernix","Aeropyrum pernix"
"Equus caballus","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus","Equus caballus","Equus caballus"
"Mus musculus","Animalia","Chordata","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus"
"Candida sp.","Fungi",NA,"Saccharomycetes","Saccharomycetales",NA,"Candida",NA,"Candida"
"Thermus thermophilus","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Thermus thermophilus","Thermus thermophilus"
"Geobacillus thermodenitrificans","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus thermodenitrificans","Geobacillus thermodenitrificans"
"Saccharomyces cerevisiae","Fungi",NA,"Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","Saccharomyces cerevisiae"
"Sulfolobus solfataricus","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus solfataricus","Sulfolobus solfataricus"
"Devosia riboflavina","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Devosia riboflavina","Devosia riboflavina"
"Pyrococcus furiosus","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","Pyrococcus furiosus","Pyrococcus furiosus"
"Thermus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Thermococcus litoralis","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus litoralis","Thermococcus litoralis"
"Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus norvegicus","Rattus norvegicus"
"Acinetobacter sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Synechocystis sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Sus scrofa","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","Sus scrofa"
"Gallus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Candida viswanathii",NA,NA,NA,NA,NA,NA,NA,NA
"Spinacia oleracea","Plantae",NA,"Magnoliopsida","Caryophyllales","Amaranthaceae","Spinacia","Spinacia oleracea","Spinacia oleracea"
"Enterobacter aerogenes","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","Enterobacter aerogenes","Enterobacter aerogenes"
"Escherichia coli","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia coli","Escherichia coli"
"Pichia membranifaciens",NA,NA,NA,NA,NA,NA,NA,NA
"Schizosaccharomyces pombe",NA,NA,NA,NA,NA,NA,NA,NA
"Cellulomonas sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Debaryomyces hansenii","Fungi",NA,"Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Debaryomyces","Debaryomyces hansenii","Debaryomyces hansenii"
"Oryctolagus cuniculus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Oryctolagus","Oryctolagus cuniculus","Oryctolagus cuniculus"
"Homo sapiens","Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens"
"Dunaliella viridis",NA,NA,NA,NA,NA,NA,NA,NA
"Cavia porcellus","Animalia","Chordata","Mammalia","Rodentia","Caviidae","Cavia","Cavia porcellus","Cavia porcellus"
"Pachysolen tannophilus",NA,NA,NA,NA,NA,NA,NA,NA
"Fusarium oxysporum",NA,NA,NA,NA,NA,NA,NA,NA
"Candida tenuis","Fungi",NA,"Saccharomycetes","Saccharomycetales",NA,"Candida","Candida tenuis","Candida tenuis"
"Meyerozyma guilliermondii",NA,NA,NA,NA,NA,NA,NA,NA
"Gluconobacter oxydans","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter","Gluconobacter oxydans","Gluconobacter oxydans"
"Ovis aries","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis aries","Ovis aries"
"Pseudomonas sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Candida boidinii","Fungi",NA,"Saccharomycetes","Saccharomycetales",NA,"Candida","Candida boidinii","Candida boidinii"
"Malus domestica",NA,NA,NA,NA,NA,NA,"Malus domestica","Malus domestica"
"Pyrus pyrifolia","Plantae",NA,"Magnoliopsida","Rosales","Rosaceae","Pyrus","Pyrus pyrifolia","Pyrus pyrifolia"
"Cyberlindnera jadinii",NA,NA,NA,NA,NA,NA,NA,NA
"Leishmania donovani",NA,NA,NA,NA,NA,NA,NA,NA
"Bos taurus","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Bos taurus"
"Streptococcus equi subsp. zooepidemicus",NA,NA,NA,NA,NA,NA,NA,NA
"Cryptococcus laurentii","Fungi",NA,"Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus laurentii","Cryptococcus laurentii"
"Mycobacterium tuberculosis","Bacteria","Actinobacteria",NA,"Actinomycetales","Mycobacteriaceae","Mycobacterium","Mycobacterium tuberculosis","Mycobacterium tuberculosis"
"Vigna radiata var. radiata","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae","Vigna","Vigna radiata","Vigna radiata var. radiata"
"Neurospora crassa",NA,NA,NA,NA,NA,NA,NA,NA
"Fragaria x ananassa","Plantae",NA,"Magnoliopsida","Rosales","Rosaceae","Fragaria","Fragaria X ananassa","Fragaria x ananassa"
"Capsicum annuum","Plantae",NA,"Magnoliopsida","Solanales","Solanaceae","Capsicum","Capsicum annuum","Capsicum annuum"
"Solanum tuberosum","Plantae",NA,"Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum tuberosum","Solanum tuberosum"
"Thermus caldophilus",NA,NA,NA,NA,NA,NA,NA,NA
"Bacillus megaterium","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus megaterium","Bacillus megaterium"
"Geobacillus stearothermophilus","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus stearothermophilus","Geobacillus stearothermophilus"
"Lactococcus lactis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus lactis","Lactococcus lactis"
"Thermoanaerobacter ethanolicus","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","Thermoanaerobacter ethanolicus","Thermoanaerobacter ethanolicus"
"Actinomyces viscosus","Bacteria","Actinobacteria",NA,"Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces viscosus","Actinomyces viscosus"
"Bacillus caldolyticus",NA,NA,NA,NA,NA,NA,NA,NA
"Bacillus subtilis","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis","Bacillus subtilis"
"Bifidobacterium bifidum","Bacteria","Actinobacteria",NA,"Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum","Bifidobacterium bifidum"
"Butyrivibrio fibrisolvens","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio","Butyrivibrio fibrisolvens","Butyrivibrio fibrisolvens"
"Enterococcus faecalis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enterococcus faecalis"
"Enterococcus faecium","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium","Enterococcus faecium"
"Lactobacillus acidophilus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus","Lactobacillus acidophilus"
"Lactobacillus brevis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus brevis","Lactobacillus brevis"
"Lactobacillus buchneri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus buchneri","Lactobacillus buchneri"
"Lactobacillus casei","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus casei","Lactobacillus casei"
